date,year,month,week,day_of_week,account,category,sub_category,type,user,amount
2023-01-01,2023,2023-01,2023-W52,Sunday,Anirban-ICICI,Rent,House Rent,Monthly House Rent Payment,Anirban,30000.0
2023-01-01,2023,2023-01,2023-W52,Sunday,Puspita-SBI,Household,Maid,Monthly Maid Salary,Puspita,2500.0
2023-01-01,2023,2023-01,2023-W52,Sunday,Anirban-ICICI,Grocery,Other,Meat/Fish Purchase,Anirban,534.04
2023-01-01,2023,2023-01,2023-W52,Sunday,Puspita-SBI,Grocery,Flipkart Grocery,FK Quick Groceries,Puspita,2921.1
2023-01-01,2023,2023-01,2023-W52,Sunday,Anirban-ICICI,Restaurant,Takeaway,Lunch Parcel,Anirban,848.85
2023-02-01,2023,2023-01,2023-W01,Monday,Puspita-SBI,Travel,Train,IRCTC Booking - Home,Puspita,1409.08
2023-02-01,2023,2023-01,2023-W01,Monday,Anirban-ICICI,Grocery,Local Store,Local Kirana - Daily Need,Anirban,1749.74
2023-02-01,2023,2023-01,2023-W01,Monday,Anirban-ICICI,Travel,Parking Fee,Parking @ Office,Anirban,67.58
2023-02-01,2023,2023-01,2023-W01,Monday,Anirban-ICICI,Household,Cleaning,Urban Company Cleaning - Kitchen,Anirban,650.55
2023-03-01,2023,2023-01,2023-W01,Tuesday,Puspita-SBI,Grocery,Other,Specialty Food Item,Puspita,842.19
2023-03-01,2023,2023-01,2023-W01,Tuesday,Puspita-SBI,Grocery,Amazon,Amazon Pantry Order,Puspita,3972.13
2023-03-01,2023,2023-01,2023-W01,Tuesday,Anirban-ICICI,Grocery,BigBasket,BB Pantry Order,Anirban,742.93
2023-03-01,2023,2023-01,2023-W01,Tuesday,Anirban-ICICI,Household,Bike Maintenance,Oil Change,Anirban,2198.85
2023-03-01,2023,2023-01,2023-W01,Tuesday,Puspita-SBI,Shopping,Max,Max Home Linen,Puspita,4789.16
2023-03-01,2023,2023-01,2023-W01,Tuesday,Anirban-ICICI,Shopping,Flipkart,Flipkart - Mobile Phone,Anirban,4359.27
2023-03-01,2023,2023-01,2023-W01,Tuesday,Anirban-ICICI,Travel,Commute,Metro Card Recharge - Silk Board,Anirban,416.31
2023-04-01,2023,2023-01,2023-W01,Wednesday,Anirban-ICICI,Travel,Hotel/Stay,Airbnb Booking,Anirban,4689.09
2023-04-01,2023,2023-01,2023-W01,Wednesday,Anirban-ICICI,Shopping,Amazon,Amazon - PC Accessory,Anirban,4445.09
2023-04-01,2023,2023-01,2023-W01,Wednesday,Puspita-SBI,Household,Cleaning,Window Cleaning,Puspita,1098.9
2023-04-01,2023,2023-01,2023-W01,Wednesday,Anirban-SBI,Travel,Commute,Metro Card Recharge - Silk Board,Anirban,241.5
2023-04-01,2023,2023-01,2023-W01,Wednesday,Anirban-ICICI,Grocery,Zepto,Zepto - Milk/Curd,Anirban,227.74
2023-05-01,2023,2023-01,2023-W01,Thursday,Anirban-ICICI,Investment,SIP,Monthly SIP Investment,Anirban,3000.0
2023-05-01,2023,2023-01,2023-W01,Thursday,Puspita-SBI,Restaurant,Food Delivery,Food Delivery - Rolls,Puspita,989.83
2023-05-01,2023,2023-01,2023-W01,Thursday,Puspita-Bandhan,Travel,Day Trip,Snacks during Day Trip,Puspita,642.09
2023-05-01,2023,2023-01,2023-W01,Thursday,Puspita-SBI,Grocery,Local Store,Urgent item from corner store,Puspita,1361.82
2023-05-01,2023,2023-01,2023-W01,Thursday,Puspita-SBI,Shopping,Purple,Purplle Combo Deal,Puspita,4842.55
2023-06-01,2023,2023-01,2023-W01,Friday,Puspita-SBI,Beauty,Meesho,Meesho Beauty Find,Puspita,2365.55
2023-06-01,2023,2023-01,2023-W01,Friday,Puspita-SBI,Grocery,Flipkart Grocery,FK Quick Groceries,Puspita,2713.41
2023-07-01,2023,2023-01,2023-W01,Saturday,Anirban-ICICI,Restaurant,Drinks,Cold Drinks Purchase,Anirban,417.51
2023-07-01,2023,2023-01,2023-W01,Saturday,Puspita-SBI,Entertainment,Concerts,Comedy Show Ticket,Puspita,3059.59
2023-07-01,2023,2023-01,2023-W01,Saturday,Puspita-SBI,Shopping,Meesho,Meesho Kitchen Item,Puspita,2480.54
2023-08-01,2023,2023-01,2023-W01,Sunday,Anirban-SBI,Household,Bike Maintenance,Oil Change,Anirban,1327.75
2023-08-01,2023,2023-01,2023-W01,Sunday,Anirban-ICICI,Restaurant,Cafe,Snack @ Starbucks,Anirban,792.64
2023-08-01,2023,2023-01,2023-W01,Sunday,Puspita-SBI,Household,Furniture,Center Table,Puspita,5976.31
2023-08-01,2023,2023-01,2023-W01,Sunday,Anirban-ICICI,Grocery,Other,Specific ingredient shop,Anirban,293.94
2023-09-01,2023,2023-01,2023-W02,Monday,Puspita-SBI,Restaurant,Dine-in,Lunch @ CTR,Puspita,1719.95
2023-10-01,2023,2023-01,2023-W02,Tuesday,Anirban-ICICI,Insurance Premium,ULIP,Monthly ULIP Premium,Anirban,4000.0
2023-10-01,2023,2023-01,2023-W02,Tuesday,Anirban-ICICI,Restaurant,Drinks,Fresh Juice,Anirban,551.33
2023-11-01,2023,2023-01,2023-W02,Wednesday,Puspita-SBI,Grocery,Other,Farmer's Market Veggies,Puspita,871.23
2023-11-01,2023,2023-01,2023-W02,Wednesday,Puspita-SBI,Household,Electrical Repairs,Doorbell Repair,Puspita,1051.49
2023-11-01,2023,2023-01,2023-W02,Wednesday,Anirban-ICICI,Health,Medicines,Pain Relief Spray/Balm,Anirban,540.44
2023-11-01,2023,2023-01,2023-W02,Wednesday,Anirban-ICICI,Entertainment,Concerts,Music Festival Pass,Anirban,2625.72
2023-11-01,2023,2023-01,2023-W02,Wednesday,Anirban-SBI,Gifts & Donations,Friends,Farewell Gift - Colleague,Anirban,2638.36
2023-12-01,2023,2023-01,2023-W02,Thursday,Puspita-SBI,Shopping,Max,Max - Kids Wear,Puspita,5998.83
2023-12-01,2023,2023-01,2023-W02,Thursday,Anirban-SBI,Travel,Hotel/Stay,OYO Stay - Weekend Trip,Anirban,4341.66
2023-01-01,2023,2023-01,2023-W02,Sunday,Anirban-ICICI,Insurance Premium,Health Insurance,Monthly Health Insurance Premium,Anirban,1200.0
2023-01-01,2023,2023-01,2023-W02,Sunday,Anirban-ICICI,Connectivity,Prime Video,Amazon Prime Annual Subscription,Anirban,1499.0
2023-01-02,2023,2023-02,2023-W05,Wednesday,Anirban-ICICI,Rent,House Rent,Monthly House Rent Payment,Anirban,30000.0
2023-01-02,2023,2023-02,2023-W05,Wednesday,Puspita-SBI,Household,Maid,Monthly Maid Salary,Puspita,2500.0
2023-01-02,2023,2023-02,2023-W05,Wednesday,Puspita-SBI,Restaurant,Dine-in,Dinner @ Truffles,Puspita,1467.02
2023-01-02,2023,2023-02,2023-W05,Wednesday,Anirban-ICICI,Gifts & Donations,Charity,Contribution to NGO,Anirban,1385.07
2023-01-02,2023,2023-02,2023-W05,Wednesday,Anirban-ICICI,Waste,Smoke,Rolling Tobacco,Anirban,313.5
2023-02-02,2023,2023-02,2023-W05,Thursday,Puspita-SBI,Entertainment,Concerts,Comedy Show Ticket,Puspita,2893.39
2023-03-02,2023,2023-02,2023-W05,Friday,Anirban-ICICI,Travel,Cab,Ola from Office,Anirban,439.17
2023-03-02,2023,2023-02,2023-W05,Friday,Puspita-SBI,Beauty,Purplle,Purplle Sale Purchase,Puspita,3539.54
2023-03-02,2023,2023-02,2023-W05,Friday,Puspita-SBI,Household,Pest Control,Bed Bug Treatment,Puspita,1623.19
2023-03-02,2023,2023-02,2023-W05,Friday,Anirban-ICICI,Grocery,Flipkart Grocery,Flipkart Grocery Topup,Anirban,666.52
2023-03-02,2023,2023-02,2023-W05,Friday,Puspita-SBI,Health,Lab Test,Blood Test @ Local Lab,Puspita,4365.96
2023-03-02,2023,2023-02,2023-W05,Friday,Anirban-ICICI,Travel,Commute,Bike Fuel - Commute,Anirban,303.27
2023-03-02,2023,2023-02,2023-W05,Friday,Anirban-ICICI,Restaurant,Drinks,Fresh Juice,Anirban,301.45
2023-04-02,2023,2023-02,2023-W05,Saturday,Anirban-ICICI,Grocery,Local Store,Local Kirana - Daily Need,Anirban,977.88
2023-04-02,2023,2023-02,2023-W05,Saturday,Anirban-ICICI,Entertainment,Movies,Movie Outing,Anirban,1232.93
2023-04-02,2023,2023-02,2023-W05,Saturday,Anirban-ICICI,Grocery,Amazon,Household items - Amazon,Anirban,2995.26
2023-05-02,2023,2023-02,2023-W05,Sunday,Anirban-ICICI,Investment,SIP,Monthly SIP Investment,Anirban,3000.0
2023-05-02,2023,2023-02,2023-W05,Sunday,Puspita-SBI,Travel,Flight,Indigo Flight - Kolkata,Puspita,11291.96
2023-05-02,2023,2023-02,2023-W05,Sunday,Anirban-ICICI,Entertainment,Concerts,Live Music Concert Ticket,Anirban,3941.81
2023-05-02,2023,2023-02,2023-W05,Sunday,Puspita-SBI,Travel,Day Trip,Snacks during Day Trip,Puspita,3883.17
2023-05-02,2023,2023-02,2023-W05,Sunday,Anirban-ICICI,Health,Health Checkup,Full Body Checkup,Anirban,5829.73
2023-05-02,2023,2023-02,2023-W05,Sunday,Anirban-ICICI,Restaurant,Cafe,Snack @ Starbucks,Anirban,455.06
2023-06-02,2023,2023-02,2023-W06,Monday,Anirban-ICICI,Grocery,BigBasket,Fruits & Veggies - BB,Anirban,2708.24
2023-06-02,2023,2023-02,2023-W06,Monday,Anirban-ICICI,Household,Appliance Repair,AC Service/Repair,Anirban,2671.37
2023-06-02,2023,2023-02,2023-W06,Monday,Anirban-ICICI,Gifts & Donations,Charity,Contribution to NGO,Anirban,1049.2
2023-06-02,2023,2023-02,2023-W06,Monday,Puspita-SBI,Household,Ironing,Weekly Clothes Ironing,Puspita,169.39
2023-06-02,2023,2023-02,2023-W06,Monday,Puspita-SBI,Health,Health Checkup,Annual Checkup Package,Puspita,5622.38
2023-06-02,2023,2023-02,2023-W06,Monday,Puspita-SBI,Travel,Hotel/Stay,Ginger Hotel Booking,Puspita,1509.63
2023-06-02,2023,2023-02,2023-W06,Monday,Puspita-Bandhan,Beauty,Nykaa,Nykaa Luxury Makeup,Puspita,4410.43
2023-07-02,2023,2023-02,2023-W06,Tuesday,Anirban-SBI,Shopping,Myntra,Myntra T-Shirt Order,Anirban,623.43
2023-07-02,2023,2023-02,2023-W06,Tuesday,Anirban-SBI,Travel,Train,Train Platform Ticket,Anirban,3338.47
2023-07-02,2023,2023-02,2023-W06,Tuesday,Anirban-ICICI,Grocery,Amazon,Amazon Fresh Order,Anirban,2438.82
2023-07-02,2023,2023-02,2023-W06,Tuesday,Puspita-SBI,Grocery,BigBasket,BigBasket Fruits Order,Puspita,1326.08
2023-07-02,2023,2023-02,2023-W06,Tuesday,Puspita-Bandhan,Beauty,Makeup,MAC Lipstick,Puspita,4199.63
2023-08-02,2023,2023-02,2023-W06,Wednesday,Puspita-SBI,Shopping,Amazon,Amazon - Books,Puspita,8175.99
2023-10-02,2023,2023-02,2023-W06,Friday,Anirban-ICICI,Insurance Premium,ULIP,Monthly ULIP Premium,Anirban,4000.0
2023-02-01,2023,2023-02,2023-W07,Wednesday,Anirban-ICICI,Insurance Premium,Health Insurance,Monthly Health Insurance Premium,Anirban,1200.0
2023-01-03,2023,2023-03,2023-W09,Wednesday,Anirban-ICICI,Rent,House Rent,Monthly House Rent Payment,Anirban,30000.0
2023-01-03,2023,2023-03,2023-W09,Wednesday,Puspita-SBI,Household,Maid,Monthly Maid Salary,Puspita,2500.0
2023-01-03,2023,2023-03,2023-W09,Wednesday,Anirban-SBI,Travel,Commute,Auto Rickshaw Fare,Anirban,154.41
2023-01-03,2023,2023-03,2023-W09,Wednesday,Puspita-SBI,Travel,Cab,Ola to Friend's Place,Puspita,389.15
2023-01-03,2023,2023-03,2023-W09,Wednesday,Anirban-ICICI,Travel,Flight,Indigo Booking - Delhi,Anirban,3774.34
2023-01-03,2023,2023-03,2023-W09,Wednesday,Anirban-SBI,Household,Car Maintenance,Wheel Alignment,Anirban,4116.41
